rank,h3_id,score_final,lat,lon,score_commercial_density,score_mixed_use,score_anchor_proximity,score_residential,score_connectivity,penalty_void_or_inviable,penalty_isolation,landuse_inviavel_pct
338,89a8b1b0b67ffff,0.084,-22.419,-41.83,0.0,0.0,0.478,0.0,0.0,2.2,0.9,1.803
339,89a8b1a259bffff,2.468,-22.416,-41.83,0.0,0.0,0.498,0.0,0.0,2.2,0.9,3.349
340,89a8b1a258bffff,6.882,-22.413,-41.829,0.0,0.0,0.549,0.0,0.011,2.2,0.837,4.708
341,89a8b1b0b77ffff,14.563,-22.422,-41.83,0.0,0.0,0.43,0.0,0.0,1.356,0.9,0.617
342,89a8b1b0b63ffff,15.0,-22.42,-41.827,0.0,0.231,0.571,0.008,0.006,2.2,0.584,1.519
343,89a8b1a2427ffff,15.0,-22.41,-41.817,0.0,1.231,1.084,0.288,0.467,2.2,0.001,6.3
344,89a8b1a25dbffff,15.0,-22.414,-41.82,0.0,1.023,1.262,0.084,0.138,2.2,0.069,6.402
345,89a8b1a2553ffff,15.0,-22.408,-41.82,0.0,1.097,1.248,0.327,0.401,2.2,0.007,6.798
346,89a8b1a25c3ffff,15.0,-22.413,-41.823,0.0,0.727,0.822,0.168,0.11,2.2,0.176,7.129
347,89a8b1a255bffff,15.0,-22.407,-41.817,0.0,1.189,1.625,0.377,0.622,2.2,0.0,5.11
348,89a8b1a251bffff,15.0,-22.408,-41.826,0.0,0.528,0.965,0.242,0.153,2.2,0.25,5.772
349,89a8b1a25c7ffff,15.0,-22.411,-41.826,0.0,0.443,0.739,0.139,0.077,2.2,0.291,6.616
350,89a8b1a242fffff,15.0,-22.408,-41.814,0.019,1.227,1.273,0.326,0.679,2.2,0.0,4.269
351,89a8b1a25cfffff,15.0,-22.41,-41.823,0.0,0.996,1.011,0.285,0.211,2.2,0.089,7.276
352,89a8b1a25cbffff,15.0,-22.411,-41.82,0.0,1.149,0.955,0.239,0.272,2.2,0.039,7.391
353,89a8b1a2437ffff,15.0,-22.413,-41.817,0.0,1.269,1.369,0.164,0.289,2.2,0.014,5.951
354,89a8b1a2513ffff,15.0,-22.409,-41.829,0.0,0.169,0.668,0.125,0.064,2.2,0.518,4.74
355,89a8b1a2423ffff,15.0,-22.411,-41.814,0.0,1.25,1.497,0.196,0.473,2.2,0.001,4.511
356,89a8b1a25d7ffff,15.0,-22.414,-41.826,0.0,0.239,0.644,0.013,0.02,2.2,0.544,5.584
357,89a8b1b0b6fffff,15.723,-22.417,-41.827,0.0,0.231,0.637,0.013,0.009,2.2,0.584,3.467
