rank,h3_id,score_final,lat,lon,score_commercial_density,score_mixed_use,score_anchor_proximity,score_residential,score_connectivity,penalty_void_or_inviable,penalty_isolation,landuse_inviavel_pct
1,89a8b1b0b4fffff,41.372,-22.424,-41.821,0.0,0.231,0.653,0.008,0.006,1.026,0.584,0.467
2,89a8b1a24b3ffff,46.109,-22.422,-41.817,0.0,0.567,0.818,0.035,0.027,1.528,0.379,0.695
3,89a8b1a2613ffff,47.849,-22.41,-41.786,0.014,0.17,0.551,0.004,0.006,0.012,0.584,0.006
4,89a8b1a24a7ffff,49.87,-22.417,-41.82,0.0,0.83,1.216,0.074,0.066,2.2,0.16,3.851
5,89a8b1a2487ffff,50.133,-22.424,-41.814,0.0,0.461,0.659,0.025,0.021,0.254,0.506,0.116
6,89a8b1a241bffff,51.776,-22.419,-41.805,0.0,0.519,0.616,0.041,0.033,0.001,0.506,0.0
7,89a8b1a2417ffff,53.259,-22.419,-41.811,0.0,1.06,0.822,0.083,0.094,1.611,0.135,0.732
8,89a8b1a268fffff,54.056,-22.412,-41.79,0.073,0.525,0.588,0.005,0.012,0.012,0.229,0.006
9,89a8b1a2687ffff,54.84,-22.413,-41.793,0.073,0.579,0.599,0.011,0.018,0.012,0.198,0.006
10,89a8b1a24abffff,55.561,-22.417,-41.814,0.0,1.128,1.247,0.116,0.128,2.2,0.068,2.077
