rank,h3_id,score_final,lat,lon,score_commercial_density,score_mixed_use,score_anchor_proximity,score_residential,score_connectivity,penalty_void_or_inviable,penalty_isolation,landuse_inviavel_pct
1,89a8b1a2637ffff,100.0,-22.402,-41.795,1.2,1.5,1.8,0.918,0.942,0.927,0.0,0.421
2,89a8b1a20cbffff,99.916,-22.401,-41.799,1.2,1.5,1.8,1.0,1.0,1.358,0.0,0.617
3,89a8b1a2627ffff,99.832,-22.399,-41.795,1.2,1.5,1.474,1.0,1.0,1.11,0.0,0.505
4,89a8b1a2623ffff,99.748,-22.401,-41.792,1.2,1.5,1.8,0.785,0.924,0.774,0.0,0.352
5,89a8b1a20dbffff,99.664,-22.404,-41.799,1.2,1.5,1.8,0.963,0.935,1.127,0.0,0.512
6,89a8b1a2053ffff,99.58,-22.397,-41.798,1.2,1.5,1.8,1.0,1.0,1.47,0.0,0.668
7,89a8b1a20c3ffff,99.496,-22.402,-41.802,1.2,1.5,1.593,1.0,1.0,1.528,0.0,0.695
8,89a8b1a20d3ffff,99.412,-22.405,-41.802,1.197,1.479,1.8,0.793,0.912,0.938,0.0,0.426
9,89a8b1a262fffff,99.328,-22.398,-41.792,1.2,1.5,1.8,0.888,1.0,0.907,0.0,0.412
10,89a8b1a20cfffff,99.244,-22.399,-41.802,1.2,1.5,1.403,1.0,1.0,1.603,0.0,0.728
11,89a8b1a26afffff,99.16,-22.405,-41.796,1.2,1.478,1.735,0.485,0.599,0.657,0.0,0.299
12,89a8b1a205bffff,99.049,-22.396,-41.795,1.2,1.5,1.736,1.0,1.0,1.283,0.0,0.583
13,89a8b1a2633ffff,98.199,-22.404,-41.792,1.2,1.5,1.52,0.399,0.576,0.533,0.0,0.242
14,89a8b1a26a7ffff,98.084,-22.407,-41.799,1.2,1.417,1.795,0.452,0.606,0.509,0.0,0.231
15,89a8b1a262bffff,97.947,-22.399,-41.789,1.2,1.5,1.621,0.717,0.841,0.641,0.0,0.292
16,89a8b1a20d7ffff,97.118,-22.404,-41.805,0.89,1.454,1.449,1.0,1.0,1.637,0.0,0.744
17,89a8b1a20c7ffff,96.957,-22.4,-41.805,0.875,1.472,1.796,1.0,1.0,1.826,0.0,0.83
18,89a8b1a2043ffff,94.889,-22.394,-41.798,1.169,1.5,1.601,1.0,1.0,1.28,0.0,0.582
19,89a8b1a263bffff,94.754,-22.402,-41.789,1.2,1.5,1.244,0.373,0.525,0.407,0.0,0.185
20,89a8b1a246fffff,94.614,-22.407,-41.805,0.568,1.434,1.714,0.593,0.838,1.478,0.0,0.672
