cluster_rank,cluster_id,lat,lon,bairro_aproximado,score_cluster,score_max_cell,n_cells,raio_m,principais_sinais,justificativa,observacao_esperada_em_campo,prioridade_visita,actionability_score
1,1,-22.39933,-41.798432,Granja dos Cavaleiros,94.52,100.0,41,593.0,proximidade a âncoras + diversidade de usos + alimentação,"41 células contíguas, score médio 95 (máx 100); sinais: proximidade a âncoras + diversidade de usos + alimentação.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,91.93
2,2,-22.397357,-41.790451,Glória,95.45,99.47,38,496.0,proximidade a âncoras + diversidade de usos + comércio,"38 células contíguas, score médio 95 (máx 99); sinais: proximidade a âncoras + diversidade de usos + comércio.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,87.23
3,3,-22.405858,-41.801733,Bosque Azul,94.52,99.89,36,485.0,proximidade a âncoras + alimentação + diversidade de usos,"36 células contíguas, score médio 95 (máx 100); sinais: proximidade a âncoras + alimentação + diversidade de usos.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,83.13
4,4,-22.405671,-41.794043,Glória,88.67,99.68,37,476.0,alimentação + proximidade a âncoras + diversidade de usos,"37 células contíguas, score médio 89 (máx 100); sinais: alimentação + proximidade a âncoras + diversidade de usos.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,57.25
5,5,-22.402872,-41.808556,Nova Holanda,83.62,90.42,36,652.0,proximidade a âncoras + diversidade de usos + transporte,"36 células contíguas, score médio 84 (máx 90); sinais: proximidade a âncoras + diversidade de usos + transporte.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,80.84
6,6,-22.410421,-41.809716,Bosque Azul,73.66,86.36,43,549.0,proximidade a âncoras + diversidade de usos + mercado/conveniência,"43 células contíguas, score médio 74 (máx 86); sinais: proximidade a âncoras + diversidade de usos + mercado/conveniência.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",média,63.5
7,7,-22.397002,-41.812074,Nova Holanda,76.98,82.53,37,559.0,proximidade a âncoras + diversidade de usos + mercado/conveniência,"37 células contíguas, score médio 77 (máx 83); sinais: proximidade a âncoras + diversidade de usos + mercado/conveniência.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,64.26
8,8,-22.402139,-41.816739,Nova Holanda,75.87,81.08,30,430.0,proximidade a âncoras + diversidade de usos + educação,"30 células contíguas, score médio 76 (máx 81); sinais: proximidade a âncoras + diversidade de usos + educação.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,74.34
9,9,-22.39317,-41.806756,Morro de São Jorge,72.01,80.1,32,514.0,proximidade a âncoras + diversidade de usos + mercado/conveniência,"32 células contíguas, score médio 72 (máx 80); sinais: proximidade a âncoras + diversidade de usos + mercado/conveniência.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",média,57.27
10,10,-22.392019,-41.787807,Aroeira,79.66,90.97,23,460.0,proximidade a âncoras + comércio + diversidade de usos,"23 células contíguas, score médio 80 (máx 91); sinais: proximidade a âncoras + comércio + diversidade de usos.","Espera-se ver fluxo contínuo de pedestres, presença de comércio/serviços ativo nas calçadas e mistura de usos. Procurar hosts: padaria, farmácia, mercado, academia, lan-house, salão, lavanderia, lojas de conveniência.",alta,79.57
