h3,lat,lon,area_km2,score,class,direct_activity_score,neighborhood_inherited_score,pos_food,pos_shop,pos_supermarket,pos_pharmacy,pos_fitness,pos_education,pos_healthcare,pos_office,pos_bank,pos_transport,pos_leisure,pos_fuel,pos_residential,pos_commercial,pos_mixed_use,pos_road_density,pos_anchor_proximity,positive_total,pen_unsuitable_landuse,pen_industrial,pen_isolation,pen_low_connectivity,penalty_total,raw,score_physical,score_rank_pct,count_shop,count_supermarket,count_food,count_pharmacy,count_healthcare,count_education,count_fitness,count_office,count_bank,count_transport,count_leisure,count_fuel,feat_unsuitable_frac,feat_industrial_frac,feat_residential,feat_commercial,feat_road_density,feat_mixed_use,feat_isolation,feat_anchor_proximity,feat_low_connectivity,raw_lu_frac_unsuitable,raw_lu_frac_residential,raw_lu_frac_commercial,raw_lu_frac_industrial
8aa8b1b0a337fff,-22.43709843504733,-41.81379133086661,0.01835095045386871,20.876654701716657,ruim,20.876654701716657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20472858018072979,0.20472858018072979,0.0,0.0,0.9,0.4,1.3,-1.0952714198192703,11.22,43.41,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.16110830499012588,1.0,0.0,0.0,0.0,0.0
8aa8b1a24d0ffff,-22.426123052542838,-41.80302244464359,0.018351417206152548,25.880885085944684,ruim,25.880885085944684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3177142720899153,0.3177142720899153,0.0,0.0,0.9,0.4,1.3,-0.9822857279100847,13.98,53.66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.20617357577838544,1.0,0.0,0.0,0.0,0.0
8aa8b1b196e7fff,-22.419062820209643,-41.7840001977229,0.018351670480570275,23.525317337753986,ruim,23.525317337753986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25902338996625485,0.25902338996625485,0.0,0.0,0.9,0.4,1.3,-1.0409766100337452,12.62,48.97,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.18276423561316799,1.0,0.0,0.0,0.0,0.0
8aa8b1a24127fff,-22.421800666653475,-41.80863439117884,0.018351635327239622,30.0,ruim,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5509360221179349,0.5509360221179349,0.0,0.0,0.9,0.4,1.3,-0.7490639778820651,18.41,65.29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.2991959854404182,1.0,0.0,0.0,0.0,0.0
8aa8b1b0e78ffff,-22.45419242463295,-41.80362688803913,0.018350128655338367,6.031164229986881,muito ruim,6.031164229986881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034074635790443696,0.034074635790443696,0.0,0.0,0.9,0.4,1.3,-1.2659253642095563,4.58,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.09304157826499089,1.0,0.0,0.0,0.0,0.0
8aa8b1a208b7fff,-22.402879588846144,-41.80691043935139,0.018352496558080796,87.64159989708389,muito bom,53.51244633364076,34.12915356344313,0.8713643930331352,0.9348135979438811,1.092436974789916,0.0,0.23907794179881026,1.1027027027027028,0.0,0.8403361344537816,0.0,1.1,0.19067932174469474,0.0,0.9284173961518838,0.0723423832678084,1.2805790163393285,0.9577229545055409,1.8,11.410472816731485,0.7758706301808402,0.043536843020382895,0.0038452095339857337,0.01691081819778364,0.8401635009329924,10.570309315798493,85.43,92.79,0,0,0,0,0,0,0,0,0,0,0,0,0.35266846826401826,0.10884210755095723,1.4792257907590538,0.016039015434927445,373835.1600836525,0.6107892318534807,0.004272455037761926,0.8099935295380397,0.0422770454944591,0.0,0.0,0.0,0.0
8aa8b1a20ba7fff,-22.399865724833997,-41.8143056957492,0.018352659961904324,80.98418196344048,muito bom,50.4356953388209,30.548486624619578,0.35486946393747587,0.4663575421954904,1.0705882352941176,0.0,0.6074531378357526,1.2,0.0,1.0,0.0,1.1,0.0,0.0,0.099845473441728,0.05356307620168747,1.3246184592368697,0.6048717563201336,1.7948989575519834,9.677066102015239,0.999369946179663,0.05796236339440256,0.012835072077299545,0.15805129747194657,1.2282186791233118,8.448847422891927,77.42,89.29,0,0,0,0,0,0,0,0,0,0,0,0,0.45425906644530134,0.1449059084860064,0.15908146488606975,0.011875458992838438,236104.11423286915,0.6317944311855278,0.014261191196999494,0.7953608147088228,0.39512824367986643,0.0,0.0,0.0,0.0
8aa8b1b0e49ffff,-22.45720392964672,-41.79623096168666,0.01834996321099706,2.0696613838359093,muito ruim,2.0696613838359093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009234132766798077,0.009234132766798077,0.0,0.0,0.9,0.4,1.3,-1.2907658672332019,2.38,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.08313373970276883,1.0,0.0,0.0,0.0,0.0
8aa8b1b1d84ffff,-22.455894775443,-41.794447304832204,0.01835001694666282,2.3542723029044783,muito ruim,2.3542723029044783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011103083973831106,0.011103083973831106,0.0,0.0,0.9,0.4,1.3,-1.288896916026169,2.61,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.08387918623508449,1.0,0.0,0.0,0.0,0.0
8aa8b1b08587fff,-22.45017970869786,-41.818023055768066,0.018350362889402103,10.624480972861964,muito ruim,10.624480972861964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07022117236169993,0.07022117236169993,0.0,0.0,0.9,0.4,1.3,-1.2297788276383002,6.57,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.10745892112598511,1.0,0.0,0.0,0.0,0.0
