h3,lat,lon,area_km2,score,class,direct_activity_score,neighborhood_inherited_score,pos_food,pos_shop,pos_supermarket,pos_pharmacy,pos_fitness,pos_education,pos_healthcare,pos_office,pos_bank,pos_transport,pos_leisure,pos_fuel,pos_residential,pos_commercial,pos_mixed_use,pos_road_density,pos_anchor_proximity,positive_total,pen_unsuitable_landuse,pen_industrial,pen_isolation,pen_low_connectivity,penalty_total,raw,score_physical,score_rank_pct,count_shop,count_supermarket,count_food,count_pharmacy,count_healthcare,count_education,count_fitness,count_office,count_bank,count_transport,count_leisure,count_fuel,feat_unsuitable_frac,feat_industrial_frac,feat_residential,feat_commercial,feat_road_density,feat_mixed_use,feat_isolation,feat_anchor_proximity,feat_low_connectivity,raw_lu_frac_unsuitable,raw_lu_frac_residential,raw_lu_frac_commercial,raw_lu_frac_industrial,rank
8aa8b1a20c9ffff,-22.399450341215484,-41.798059999589995,0.018352621919224814,100.0,muito bom,55.785303471632595,44.214696528367405,1.6,1.4,1.3,1.1,0.8245749421224274,1.2,1.0,0.9882352941176471,0.7,1.1,0.6,0.5,1.0,1.2,1.5,1.0,1.8,18.81281023624007,1.3858099795721828,0.0,2.2750793918543484e-05,0.0,1.3858327303661013,17.42697750587397,100.0,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0.6299136270782648,0.0,2.1730194507795293,0.6194981050232454,452409.1854793484,0.8494320354125341,2.5278659909492757e-05,0.8281441948659126,0.0,0.0,0.0,0.0,0.0,1
8aa8b1a20c97fff,-22.400355479410834,-41.797201811837084,0.01835257735973895,99.98455200823892,muito bom,50.68428203864448,49.30026996959444,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,1.0056216408091785,0.6,0.5,0.8084115429010706,1.2,1.5,1.0,1.7354631961599079,18.649496379870158,1.401308402148969,0.0,1.1456170219273021e-06,0.0,1.401309547765991,17.248186832104167,100.0,99.95,0,0,0,0,0,0,0,0,0,0,1,0,0.6369583646131677,0.0,1.288023262772807,0.8947972132250981,429947.01577946893,0.8290414174371602,1.2729078021414467e-06,0.7716543733322178,0.0,0.0,0.0,0.0,0.0,2
8aa8b1a2626ffff,-22.39924792783639,-41.796739155091274,0.018352626355715582,99.96910401647784,muito bom,49.61925635839493,50.349847658082915,1.6,1.4,1.3,1.1,1.0,1.2,0.7000000000000001,1.0,0.7,1.1,0.6,0.5,1.0,1.2,1.5,1.0,1.538662001432476,18.438662001432476,1.4119852511115332,0.0,1.0754813003581258e-05,0.0,1.4119960059245367,17.02666599550794,100.0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0.6418114777779695,0.0,1.6713535877482744,0.8418126322722518,443736.08831436525,0.8403554810736926,1.1949792226201397e-05,0.6931586011509644,0.0,0.0,0.0,0.0,0.0,3
8aa8b1a20c87fff,-22.400557886612493,-41.79852265885536,0.01835257291227091,99.95365602471678,muito bom,51.44906040310349,48.50459562161329,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,1.0614005835688332,0.6,0.0,1.0,1.2,1.5,1.0,1.7796040208920485,18.441004604460883,1.4963664022247731,0.0,3.2622594636255725e-06,0.0,1.4963696644842368,16.944634939976645,100.0,99.85,0,0,0,0,0,0,0,0,0,1,0,0,0.6801665464658059,0.0,1.861753785695527,0.715383435910662,433393.9914163047,0.8210837664686372,3.6247327373617473e-06,0.7892603036562973,0.0,0.0,0.0,0.030824606057866036,0.0,4
8aa8b1a26267fff,-22.400153061055533,-41.795880965888315,0.0183525817788532,99.93820803295571,muito bom,47.40176369470836,52.53644433824736,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,1.0605274902222563,0.6,0.5,0.6549349384636198,1.2,1.5,1.0,1.5578139274053011,18.37327635609118,1.4402333300343662,0.0,1.2025528942986432e-06,0.0,1.4402345325872605,16.933041823503917,100.0,99.79,0,0,0,0,0,0,0,0,0,0,0,0,0.6546515136519846,0.0,1.043492567308692,1.1086089925969276,414230.8475329743,0.8290272045522727,1.3361698825540479e-06,0.7007975040553763,0.0,0.0,0.0,0.11565966050876224,0.0,5
8aa8b1a2634ffff,-22.401260603753833,-41.79634362174821,0.01835253278414943,99.92276004119465,muito bom,49.925112325850264,49.997647715344385,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.8433515834095373,0.6,0.5,0.49644626796957164,1.2,1.5,1.0,1.8,18.239797851379112,1.3099787799490044,0.0,9.737069778492862e-08,0.0,1.309978877319702,16.929818974059412,100.0,99.74,0,0,0,0,0,0,0,0,0,0,0,0,0.5954448999768202,0.0,0.7909762638555022,1.044871203321826,405354.11229756265,0.8120040948937672,1.0818966420547623e-07,0.8313431120229231,0.0,0.0,0.0,0.012279538168513198,0.0,6
8aa8b1a20537fff,-22.3983427807653,-41.79759734195847,0.018352670917037628,99.90731204943357,muito bom,53.50247238033772,46.40483966909585,1.6,1.2921756180281396,1.3,1.1,0.7684648129247473,1.2,0.9799999999999999,0.5764705882352941,0.7,1.1,0.6,0.5,1.0,1.2,1.5,1.0,1.7979445778606338,18.21505559704881,1.4110683097458059,0.0,0.00015974413446823122,0.0,1.4112280538802742,16.803827543168534,100.0,99.69,0,0,0,0,0,0,0,0,0,0,0,0,0.6413946862480935,0.0,2.230203140498244,0.6029774706223282,455223.99265942996,0.8347298295717364,0.00017749348274247913,0.796575585372332,0.0,0.0,0.0,0.0,0.0,7
8aa8b1a20daffff,-22.40388043247711,-41.79991064645408,0.018352425835404782,99.89186405767249,muito bom,58.608986657485104,41.28287740018739,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.6158764087862745,0.6,0.0,0.9404572613733372,1.2,1.5,0.9754298289202395,1.730535360667166,17.862298859747018,1.0806978666204448,0.0,1.2112061835213156e-06,0.009828068431904181,1.0905271462585324,16.771771713488484,100.0,99.64,0,0,1,0,0,0,0,0,0,0,0,0,0.49122630300929304,0.0,1.498408627300737,0.37961505642524684,380746.8167378647,0.7561399816949791,1.3457846483570173e-06,0.7696888656902511,0.02457017107976045,0.05887818711742,0.009349848643237502,0.0,0.0,8
8aa8b1a2635ffff,-22.40105818042194,-41.79502277434997,0.018352537186304647,99.87641606591143,muito bom,51.63114507964526,48.24527098626617,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.8637520561881146,0.6,0.5,0.3569445395950122,1.2,1.5,0.9683064858524154,1.8,18.089003081635543,1.3208876052380327,0.0,3.7411577984628566e-07,0.012677405659033837,1.3335653850128464,16.755437696622696,100.0,99.59,0,0,2,0,0,0,0,0,0,0,3,0,0.6004034569263784,0.0,0.5687114125909596,1.2421339066372465,377966.30898918526,0.8144124724179489,4.156841998292063e-07,0.8324861110204381,0.03169351414758459,0.0,0.0,0.4026239180707931,0.0,9
8aa8b1a20ca7fff,-22.401665416955595,-41.798985319754536,0.01835252389616045,99.86096807415036,muito bom,51.17683342648694,48.68413464766343,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.7826594695259751,0.6,0.0,1.0,1.2,1.5,1.0,1.8,18.182659469525976,1.4306785220883325,0.0,9.081279849791248e-07,0.0,1.4306794302163175,16.751980039309657,100.0,99.54,0,0,0,0,0,0,0,0,0,0,0,0,0.6503084191310602,0.0,1.6912681994810224,0.6747071618735193,414292.15493981267,0.8036173102801129,1.0090310944212497e-06,0.803682194226977,0.0,0.0,0.0,0.0,0.0,10
