super_cluster_rank,super_cluster_id,micro_cluster_ids,bairros,bairro_principal,n_micro_clusters,n_cells_total,score_medio,score_medio_ponderado,score_max,inherited_share_medio,direct_share_medio,centroid_lat,centroid_lon,raio_m,principais_sinais,justificativa,prioridade_visita,actionability_medio
1,1,1,Granja dos Cavaleiros;Glória;Morro de São Jorge;Nova Holanda,Granja dos Cavaleiros,1,41,94.52,94.38,100.0,0.435,0.565,-22.39933,-41.798432,593.0,proximidade a âncoras + diversidade de usos + alimentação + mercado/conveniência,"1 micro-cluster(s) unidos, 41 células, raio ~593m, score médio 95 (máx 100); direct share 56%. Sinais: proximidade a âncoras + diversidade de usos + alimentação + mercado/conveniência.",alta,91.93
2,2,2;13,Glória;Granja dos Cavaleiros;Aroeira,Glória,2,54,90.61,92.35,99.47,0.511,0.489,-22.398671,-41.789722,638.0,proximidade a âncoras + diversidade de usos + comércio + alimentação,"2 micro-cluster(s) unidos, 54 células, raio ~638m, score médio 91 (máx 99); direct share 49%. Sinais: proximidade a âncoras + diversidade de usos + comércio + alimentação.",média,73.98
3,3,4,Glória;Cavaleiros,Glória,1,37,88.67,90.28,99.68,0.599,0.401,-22.405671,-41.794043,476.0,alimentação + proximidade a âncoras + diversidade de usos + comércio,"1 micro-cluster(s) unidos, 37 células, raio ~476m, score médio 89 (máx 100); direct share 40%. Sinais: alimentação + proximidade a âncoras + diversidade de usos + comércio.",baixa,57.25
4,4,3;14,Bosque Azul;Glória;Cavaleiros;Granja dos Cavaleiros,Bosque Azul,2,55,85.32,88.58,99.89,0.504,0.496,-22.407406,-41.801766,661.0,proximidade a âncoras + alimentação + diversidade de usos + academia,"2 micro-cluster(s) unidos, 55 células, raio ~661m, score médio 85 (máx 100); direct share 50%. Sinais: proximidade a âncoras + alimentação + diversidade de usos + academia.",média,69.59
5,5,5,Nova Holanda;Bosque Azul,Nova Holanda,1,36,83.62,83.89,90.42,0.388,0.612,-22.402872,-41.808556,652.0,proximidade a âncoras + diversidade de usos + transporte + mercado/conveniência,"1 micro-cluster(s) unidos, 36 células, raio ~652m, score médio 84 (máx 90); direct share 61%. Sinais: proximidade a âncoras + diversidade de usos + transporte + mercado/conveniência.",alta,80.84
6,6,10,Aroeira,Aroeira,1,23,79.66,79.94,90.97,0.332,0.668,-22.392019,-41.787807,460.0,proximidade a âncoras + comércio + diversidade de usos + conectividade viária,"1 micro-cluster(s) unidos, 23 células, raio ~460m, score médio 80 (máx 91); direct share 67%. Sinais: proximidade a âncoras + comércio + diversidade de usos + conectividade viária.",alta,79.57
7,7,7,Nova Holanda,Nova Holanda,1,37,76.98,77.23,82.53,0.444,0.556,-22.397002,-41.812074,559.0,proximidade a âncoras + diversidade de usos + mercado/conveniência + escritórios,"1 micro-cluster(s) unidos, 37 células, raio ~559m, score médio 77 (máx 83); direct share 56%. Sinais: proximidade a âncoras + diversidade de usos + mercado/conveniência + escritórios.",alta,64.26
8,8,6,Bosque Azul;Virgem Santa,Bosque Azul,1,43,73.66,74.83,86.36,0.424,0.576,-22.410421,-41.809716,549.0,proximidade a âncoras + diversidade de usos + mercado/conveniência + alimentação,"1 micro-cluster(s) unidos, 43 células, raio ~549m, score médio 74 (máx 86); direct share 58%. Sinais: proximidade a âncoras + diversidade de usos + mercado/conveniência + alimentação.",média,63.5
9,9,8;16,Nova Holanda;Bosque Azul,Nova Holanda,2,40,72.8,72.63,81.08,0.294,0.706,-22.402649,-41.818096,693.0,proximidade a âncoras + diversidade de usos + transporte + educação,"2 micro-cluster(s) unidos, 40 células, raio ~693m, score médio 73 (máx 81); direct share 71%. Sinais: proximidade a âncoras + diversidade de usos + transporte + educação.",média,71.65
10,10,9;11,Morro de São Jorge;Nova Holanda;Visconde de Araújo;Granja dos Cavaleiros;Botafogo,Morro de São Jorge,2,63,69.67,69.66,80.1,0.354,0.646,-22.39321,-41.803832,791.0,proximidade a âncoras + diversidade de usos + densidade residencial + saúde,"2 micro-cluster(s) unidos, 63 células, raio ~791m, score médio 70 (máx 80); direct share 65%. Sinais: proximidade a âncoras + diversidade de usos + densidade residencial + saúde.",média,61.82
11,11,12,Visconde de Araújo;Granja dos Cavaleiros;Aroeira,Visconde de Araújo,1,28,68.31,68.52,86.47,0.243,0.757,-22.391136,-41.794057,408.0,proximidade a âncoras + conectividade viária + diversidade de usos + comércio,"1 micro-cluster(s) unidos, 28 células, raio ~408m, score médio 68 (máx 86); direct share 76%. Sinais: proximidade a âncoras + conectividade viária + diversidade de usos + comércio.",média,68.19
12,12,15,Virgem Santa,Virgem Santa,1,21,62.66,63.71,70.45,0.396,0.604,-22.415763,-41.814648,361.0,proximidade a âncoras + diversidade de usos + alimentação + educação,"1 micro-cluster(s) unidos, 21 células, raio ~361m, score médio 63 (máx 70); direct share 60%. Sinais: proximidade a âncoras + diversidade de usos + alimentação + educação.",média,58.72
